model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
Logistic Regression - Baseline,0.9494949494949495,0.5,0.0,0.0,0.0,0.7011968085106384,0.08670017653844025,0.0
Logistic Regression - SMOTE + Feature Selection,0.6414141414141414,0.574468085106383,0.07042253521126761,0.5,0.12345679012345678,0.6868351063829787,0.07714939783968905,0.0680061316537396
Logistic Regression - SHAP Top 20,0.9494949494949495,0.5,0.0,0.0,0.0,0.5098404255319149,0.05774774098435531,0.0
Random Forest - Baseline,0.9494949494949495,0.5,0.0,0.0,0.0,0.6384308510638298,0.07130488505512833,0.0
Random Forest - SMOTE,0.9267676767676768,0.488031914893617,0.0,0.0,0.0,0.6449468085106382,0.07561319436801983,-0.03517117257790392
Random Forest - SHAP Top 20,0.8787878787878788,0.4627659574468085,0.0,0.0,0.0,0.6292553191489362,0.06848077562440738,-0.06361743894869062
XGBoost - Baseline,0.8131313131313131,0.6175531914893617,0.11428571428571428,0.4,0.17777777777777778,0.6943484042553191,0.1435643541929697,0.13496324768440007
XGBoost - SMOTE,0.8434343434343434,0.5388297872340425,0.08,0.2,0.11428571428571428,0.6420212765957447,0.08574479356174905,0.05120128672592955
XGBoost - SHAP Top 20,0.9191919191919192,0.5787234042553192,0.2,0.2,0.2,0.6708776595744681,0.10680130885389408,0.1574468085106383
HistGradientBoosting - Baseline,0.8434343434343434,0.4441489361702128,0.0,0.0,0.0,0.5794547872340425,0.06677446433059696,-0.07944088789806202
HistGradientBoosting - SMOTE,0.8535353535353535,0.449468085106383,0.0,0.0,0.0,0.5190824468085106,0.0557345407169386,-0.07514002934827749
HistGradientBoosting - SHAP Top 20,0.8914141414141414,0.46941489361702127,0.0,0.0,0.0,0.5945478723404256,0.06359821407474295,-0.057270447612677446
SVM - Baseline,0.9494949494949495,0.5,0.0,0.0,0.0,0.5321808510638297,0.06393813732628699,0.0
SVM - SMOTE + Feature Selection,0.6313131313131313,0.5454787234042553,0.0625,0.45,0.10975609756097561,0.6369680851063829,0.07540582811019658,0.04140622759791789
SVM - SHAP Top 20,0.5757575757575758,0.42154255319148937,0.03164556962025317,0.25,0.056179775280898875,0.46981382978723407,0.049151258219166556,-0.0701707413749811
CatBoost - Baseline,0.9494949494949495,0.5,0.0,0.0,0.0,0.6625000000000001,0.08148464653700072,0.0
CatBoost - SMOTE,0.9116161616161617,0.4800531914893617,0.0,0.0,0.0,0.7166223404255319,0.10597121247065323,-0.045761917840891043
CatBoost - SHAP Top 20,0.7878787878787878,0.5569148936170213,0.07894736842105263,0.3,0.125,0.6593085106382979,0.14960750605797846,0.06329699012249027
MLP - Baseline,0.9393939393939394,0.4946808510638298,0.0,0.0,0.0,0.6375,0.07167584736654553,-0.02329743118048008
MLP - SMOTE + Feature Selection,0.8181818181818182,0.6438829787234043,0.12857142857142856,0.45,0.2,0.8003989361702127,0.12054266573563586,0.16519257239199195
MLP - SHAP Top 20,0.9318181818181818,0.49069148936170215,0.0,0.0,0.0,0.5438829787234043,0.07198002147999522,-0.03093821795799224
1D-CNN,0.7323232323232324,0.6933510638297873,0.11607142857142858,0.65,0.19696969696969696,0.7779255319148937,0.14992691529792268,0.18802573738341058
LSTM,0.8484848484848485,0.6598404255319149,0.15517241379310345,0.45,0.23076923076923078,0.7603723404255319,0.16709336336753827,0.197994531801805
